n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
98,2,3648.5730,3647.5336,3.554106e-04,2.673019e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
99,2,3648.5424,3647.5031,3.518217e-04,2.646027e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
100,2,3648.5128,3647.4734,3.483045e-04,2.619575e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
101,2,3648.4840,3647.4447,3.448570e-04,2.593646e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
102,2,3648.4561,3647.4167,3.414770e-04,2.568225e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
103,2,3648.4290,3647.3896,3.381626e-04,2.543298e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
104,2,3648.4026,3647.3633,3.349120e-04,2.518850e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
105,2,3648.3770,3647.3377,3.317232e-04,2.494868e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
106,2,3648.3522,3647.3129,3.285945e-04,2.471337e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
107,2,3648.3280,3647.2887,3.255244e-04,2.448247e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
108,2,3648.3045,3647.2652,3.225110e-04,2.425584e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
109,2,3648.2816,3647.2424,3.195529e-04,2.403336e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
110,2,3648.2594,3647.2201,3.166486e-04,2.381493e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
111,2,3648.2378,3647.1985,3.137966e-04,2.360043e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
112,2,3648.2167,3647.1774,3.109955e-04,2.338976e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
113,2,3648.1962,3647.1569,3.082440e-04,2.318282e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
114,2,3648.1762,3647.1370,3.055407e-04,2.297951e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
115,2,3648.1568,3647.1175,3.028844e-04,2.277973e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
116,2,3648.1378,3647.0986,3.002739e-04,2.258340e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
117,2,3648.1194,3647.0801,2.977081e-04,2.239042e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
118,2,3648.1014,3647.0621,2.951856e-04,2.220071e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
119,2,3648.0838,3647.0446,2.927056e-04,2.201419e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
120,2,3648.0667,3647.0275,2.902669e-04,2.183078e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
121,2,3648.0500,3647.0108,2.878685e-04,2.165039e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
122,2,3648.0338,3646.9945,2.855094e-04,2.147297e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
