n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
188,2,3647.4662,3646.4271,1.364220e-05,1.547054e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
189,2,3647.4618,3646.4227,1.342715e-05,1.522668e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
190,2,3647.4575,3646.4184,1.321661e-05,1.498792e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
191,2,3647.4533,3646.4142,1.301045e-05,1.475413e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
192,2,3647.4491,3646.4101,1.280856e-05,1.452518e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
193,2,3647.4451,3646.4060,1.261082e-05,1.430094e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
194,2,3647.4410,3646.4020,1.241714e-05,1.408131e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
195,2,3647.4371,3646.3980,1.222741e-05,1.386615e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
196,2,3647.4332,3646.3941,1.204153e-05,1.365535e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
197,2,3647.4293,3646.3902,1.185940e-05,1.344881e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
198,2,3647.4255,3646.3865,1.168092e-05,1.324642e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
199,2,3647.4218,3646.3827,1.150602e-05,1.304807e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
200,2,3647.4181,3646.3790,1.133459e-05,1.285366e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
201,2,3647.4145,3646.3754,1.116655e-05,1.266310e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
202,2,3647.4109,3646.3719,1.100181e-05,1.247629e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
203,2,3647.4074,3646.3683,1.084031e-05,1.229314e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
204,2,3647.4039,3646.3649,1.068195e-05,1.211356e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
205,2,3647.4005,3646.3615,1.052667e-05,1.193747e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
206,2,3647.3972,3646.3581,1.037438e-05,1.176477e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
207,2,3647.3939,3646.3548,1.022502e-05,1.159539e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
208,2,3647.3906,3646.3515,1.007851e-05,1.142925e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
209,2,3647.3874,3646.3483,9.934796e-06,1.126627e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
210,2,3647.3842,3646.3451,9.793800e-06,1.110638e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
211,2,3647.3811,3646.3420,9.655461e-06,1.094950e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
212,2,3647.3780,3646.3389,9.519717e-06,1.079556e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
213,2,3647.3749,3646.3359,9.386508e-06,1.064450e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
214,2,3647.3719,3646.3329,9.255774e-06,1.049625e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
215,2,3647.3690,3646.3299,9.127459e-06,1.035073e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
216,2,3647.3661,3646.3270,9.001506e-06,1.020790e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
217,2,3647.3632,3646.3241,8.877863e-06,1.006769e-05,extrapolated_asymptotic_fit,15000.0,9.0,B,
218,2,3647.3604,3646.3213,8.756475e-06,9.930029e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
219,2,3647.3576,3646.3185,8.637291e-06,9.794873e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
220,2,3647.3548,3646.3158,8.520263e-06,9.662160e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
221,2,3647.3521,3646.3130,8.405340e-06,9.531836e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
222,2,3647.3494,3646.3104,8.292477e-06,9.403846e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
223,2,3647.3467,3646.3077,8.181627e-06,9.278140e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
224,2,3647.3441,3646.3051,8.072745e-06,9.154666e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
225,2,3647.3416,3646.3025,7.965789e-06,9.033375e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
226,2,3647.3390,3646.3000,7.860715e-06,8.914219e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
227,2,3647.3365,3646.2975,7.757482e-06,8.797150e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
228,2,3647.3340,3646.2950,7.656050e-06,8.682125e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
229,2,3647.3316,3646.2925,7.556381e-06,8.569097e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
230,2,3647.3292,3646.2901,7.458435e-06,8.458025e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
231,2,3647.3268,3646.2877,7.362176e-06,8.348865e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
232,2,3647.3244,3646.2854,7.267568e-06,8.241577e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
233,2,3647.3221,3646.2831,7.174575e-06,8.136121e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
234,2,3647.3198,3646.2808,7.083163e-06,8.032458e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
235,2,3647.3175,3646.2785,6.993298e-06,7.930550e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
236,2,3647.3153,3646.2763,6.904949e-06,7.830359e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
237,2,3647.3131,3646.2741,6.818082e-06,7.731851e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
238,2,3647.3109,3646.2719,6.732668e-06,7.634989e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
239,2,3647.3088,3646.2697,6.648675e-06,7.539740e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
240,2,3647.3067,3646.2676,6.566075e-06,7.446069e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
241,2,3647.3046,3646.2655,6.484839e-06,7.353946e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
242,2,3647.3025,3646.2635,6.404938e-06,7.263336e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
243,2,3647.3004,3646.2614,6.326345e-06,7.174211e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
244,2,3647.2984,3646.2594,6.249034e-06,7.086538e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
245,2,3647.2964,3646.2574,6.172979e-06,7.000290e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
246,2,3647.2944,3646.2554,6.098153e-06,6.915436e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
247,2,3647.2925,3646.2535,6.024533e-06,6.831950e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
248,2,3647.2906,3646.2515,5.952095e-06,6.749803e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
249,2,3647.2887,3646.2496,5.880814e-06,6.668968e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
250,2,3647.2868,3646.2478,5.810667e-06,6.589420e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
251,2,3647.2849,3646.2459,5.741632e-06,6.511134e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
252,2,3647.2831,3646.2441,5.673688e-06,6.434083e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
253,2,3647.2813,3646.2423,5.606812e-06,6.358245e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
254,2,3647.2795,3646.2405,5.540984e-06,6.283594e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
255,2,3647.2777,3646.2387,5.476183e-06,6.210109e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
256,2,3647.2760,3646.2370,5.412389e-06,6.137765e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
257,2,3647.2743,3646.2352,5.349584e-06,6.066542e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
258,2,3647.2725,3646.2335,5.287747e-06,5.996418e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
259,2,3647.2709,3646.2318,5.226860e-06,5.927371e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
260,2,3647.2692,3646.2302,5.166905e-06,5.859380e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
261,2,3647.2675,3646.2285,5.107864e-06,5.792427e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
262,2,3647.2659,3646.2269,5.049720e-06,5.726490e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
263,2,3647.2643,3646.2253,4.992456e-06,5.661551e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
264,2,3647.2627,3646.2237,4.936055e-06,5.597591e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
265,2,3647.2611,3646.2221,4.880501e-06,5.534592e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
266,2,3647.2596,3646.2205,4.825778e-06,5.472535e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
267,2,3647.2580,3646.2190,4.771871e-06,5.411403e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
268,2,3647.2565,3646.2175,4.718764e-06,5.351179e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
269,2,3647.2550,3646.2160,4.666443e-06,5.291846e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
270,2,3647.2535,3646.2145,4.614894e-06,5.233388e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
271,2,3647.2520,3646.2130,4.564101e-06,5.175788e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
272,2,3647.2506,3646.2115,4.514052e-06,5.119031e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
273,2,3647.2491,3646.2101,4.464732e-06,5.063102e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
274,2,3647.2477,3646.2087,4.416129e-06,5.007985e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
275,2,3647.2463,3646.2073,4.368229e-06,4.953665e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
276,2,3647.2449,3646.2059,4.321020e-06,4.900129e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
277,2,3647.2435,3646.2045,4.274490e-06,4.847363e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
278,2,3647.2421,3646.2031,4.228625e-06,4.795352e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
279,2,3647.2408,3646.2018,4.183415e-06,4.744082e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
280,2,3647.2395,3646.2004,4.138848e-06,4.693542e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
281,2,3647.2381,3646.1991,4.094912e-06,4.643717e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
282,2,3647.2368,3646.1978,4.051596e-06,4.594596e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
283,2,3647.2355,3646.1965,4.008889e-06,4.546166e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
284,2,3647.2342,3646.1952,3.966781e-06,4.498414e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
285,2,3647.2330,3646.1940,3.925261e-06,4.451330e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
286,2,3647.2317,3646.1927,3.884319e-06,4.404900e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
287,2,3647.2305,3646.1915,3.843944e-06,4.359115e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
288,2,3647.2293,3646.1902,3.804128e-06,4.313962e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
289,2,3647.2280,3646.1890,3.764860e-06,4.269432e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
290,2,3647.2268,3646.1878,3.726131e-06,4.225513e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
291,2,3647.2256,3646.1866,3.687932e-06,4.182194e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
292,2,3647.2245,3646.1855,3.650254e-06,4.139466e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
293,2,3647.2233,3646.1843,3.613088e-06,4.097319e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
294,2,3647.2222,3646.1831,3.576424e-06,4.055742e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
295,2,3647.2210,3646.1820,3.540256e-06,4.014726e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
296,2,3647.2199,3646.1809,3.504574e-06,3.974262e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
297,2,3647.2188,3646.1797,3.469370e-06,3.934340e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
298,2,3647.2177,3646.1786,3.434637e-06,3.894952e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
299,2,3647.2166,3646.1775,3.400366e-06,3.856088e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
300,2,3647.2155,3646.1765,3.366550e-06,3.817740e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
301,2,3647.2144,3646.1754,3.333181e-06,3.779899e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
302,2,3647.2133,3646.1743,3.300252e-06,3.742556e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
303,2,3647.2123,3646.1733,3.267756e-06,3.705705e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
304,2,3647.2112,3646.1722,3.235685e-06,3.669336e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
305,2,3647.2102,3646.1712,3.204033e-06,3.633442e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
306,2,3647.2092,3646.1702,3.172792e-06,3.598014e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
307,2,3647.2082,3646.1692,3.141957e-06,3.563047e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
308,2,3647.2072,3646.1681,3.111521e-06,3.528531e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
309,2,3647.2062,3646.1672,3.081476e-06,3.494460e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
310,2,3647.2052,3646.1662,3.051817e-06,3.460826e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
311,2,3647.2042,3646.1652,3.022539e-06,3.427623e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
312,2,3647.2032,3646.1642,2.993633e-06,3.394844e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
313,2,3647.2023,3646.1633,2.965096e-06,3.362482e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
314,2,3647.2013,3646.1623,2.936920e-06,3.330530e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
315,2,3647.2004,3646.1614,2.909100e-06,3.298982e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
316,2,3647.1995,3646.1605,2.881631e-06,3.267831e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
317,2,3647.1985,3646.1595,2.854507e-06,3.237072e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
318,2,3647.1976,3646.1586,2.827723e-06,3.206698e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
319,2,3647.1967,3646.1577,2.801272e-06,3.176703e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
320,2,3647.1958,3646.1568,2.775151e-06,3.147081e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
321,2,3647.1950,3646.1559,2.749354e-06,3.117826e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
322,2,3647.1941,3646.1551,2.723876e-06,3.088934e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
323,2,3647.1932,3646.1542,2.698712e-06,3.060397e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
324,2,3647.1923,3646.1533,2.673857e-06,3.032211e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
325,2,3647.1915,3646.1525,2.649307e-06,3.004371e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
326,2,3647.1906,3646.1516,2.625057e-06,2.976871e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
327,2,3647.1898,3646.1508,2.601102e-06,2.949705e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
328,2,3647.1890,3646.1500,2.577437e-06,2.922869e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
329,2,3647.1881,3646.1491,2.554060e-06,2.896358e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
330,2,3647.1873,3646.1483,2.530964e-06,2.870167e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
331,2,3647.1865,3646.1475,2.508146e-06,2.844291e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
332,2,3647.1857,3646.1467,2.485602e-06,2.818725e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
333,2,3647.1849,3646.1459,2.463327e-06,2.793465e-06,extrapolated_asymptotic_fit,15000.0,9.0,B,
