lam,flux,err
4255.046487934546,5.6853164e-16,3.6168462e-17
4257.906919840668,5.476558e-16,3.5826208e-17
4260.767351746788,5.900016e-16,3.5788277e-17
4263.62778365291,6.2380647e-16,3.6054384e-17
4266.488215559031,6.500306e-16,3.609194e-17
4269.348647465152,5.7399886e-16,3.5381145e-17
4272.209079371273,6.118473e-16,3.5419897e-17
4275.069511277395,5.588741e-16,3.4924945e-17
4277.929943183515,5.863509e-16,3.50297e-17
4280.790375089637,5.7423085e-16,3.4876234e-17
4283.650806995757,5.5040656e-16,3.4813617e-17
4286.511238901879,6.159261e-16,3.5221863e-17
4289.371670808,5.924522e-16,3.4798995e-17
4292.232102714121,6.2961076e-16,3.4617863e-17
4295.092534620242,5.681488e-16,3.4226285e-17
4297.9529665263635,5.341311e-16,3.414252e-17
4300.813398432484,5.291398e-16,3.395946e-17
4303.6738303386055,5.68979e-16,3.3886182e-17
4306.534262244726,5.6416836e-16,3.421335e-17
4309.3946941508475,5.4558806e-16,3.3993116e-17
4312.255126056969,5.4534903e-16,3.3959142e-17
4315.1155579630895,5.3614936e-16,3.382524e-17
4317.975989869211,5.570958e-16,3.3902034e-17
4320.8364217753315,5.370924e-16,3.378171e-17
4323.696853681453,5.5382016e-16,3.3780253e-17
4326.557285587574,5.5500336e-16,3.3713804e-17
4329.417717493695,6.1230694e-16,3.395532e-17
4332.278149399816,5.7934915e-16,3.3778595e-17
4335.138581305937,5.8959444e-16,3.362658e-17
4337.999013212058,6.0321615e-16,3.397417e-17
4340.85944511818,5.4264467e-16,3.3528535e-17
4343.7198770243,6.07755e-16,3.4493465e-17
4346.580308930422,6.486426e-16,3.4784473e-17
4349.440740836543,6.689157e-16,3.521151e-17
4352.301172742664,6.4367267e-16,3.5111848e-17
4355.161604648785,7.145834e-16,3.5577667e-17
4358.022036554907,6.409223e-16,3.4868895e-17
4360.882468461027,6.015426e-16,3.4493855e-17
4363.742900367149,5.655072e-16,3.4293654e-17
4366.603332273269,6.2667516e-16,3.4032096e-17
4369.463764179391,5.3290067e-16,3.3130155e-17
4372.324196085512,5.2246453e-16,3.2439665e-17
4375.184627991633,5.875691e-16,3.3325188e-17
4378.045059897754,5.16834e-16,3.2764426e-17
4380.905491803875,5.3105414e-16,3.2862887e-17
4383.765923709996,5.7848946e-16,3.3189682e-17
4386.6263556161175,5.914604e-16,3.318142e-17
4389.486787522238,5.1009547e-16,3.2600488e-17
4392.3472194283595,5.0984263e-16,3.240144e-17
4395.20765133448,4.7037714e-16,3.2366036e-17
4398.0680832406015,5.5778517e-16,3.2821044e-17
4400.928515146723,5.756018e-16,3.2991632e-17
4403.7889470528435,5.9584766e-16,3.3159732e-17
4406.649378958965,5.7866273e-16,3.2991516e-17
4409.509810865086,5.356815e-16,3.2726058e-17
4412.370242771207,5.1425297e-16,3.2471352e-17
4415.230674677328,4.71425e-16,3.1992034e-17
4418.09110658345,5.1402607e-16,3.2327787e-17
4420.95153848957,5.016505e-16,3.2329848e-17
4423.811970395692,4.646101e-16,3.1936735e-17
4426.672402301812,4.8894114e-16,3.2058615e-17
4429.532834207934,4.8127486e-16,3.205842e-17
4432.393266114055,4.8703336e-16,3.1970468e-17
4435.253698020176,4.593354e-16,3.1697832e-17
4438.114129926297,4.2298435e-16,3.1292577e-17
4440.974561832418,4.548069e-16,3.1633058e-17
4443.834993738539,4.8573104e-16,3.172228e-17
4446.695425644661,4.456196e-16,3.1592777e-17
4449.555857550781,4.955056e-16,3.191374e-17
4452.416289456903,4.4463126e-16,3.1441486e-17
4455.276721363023,4.609512e-16,3.14152e-17
4458.137153269145,5.0368867e-16,3.156902e-17
4460.997585175266,4.9178304e-16,3.160712e-17
4463.858017081387,5.381978e-16,3.1733907e-17
4466.718448987508,5.142501e-16,3.1506208e-17
4469.5788808936295,5.346151e-16,3.1608143e-17
